Date,amount_dispensed,t_minus_1,t_minus_2,t_minus_3,t_minus_7,weekday,month,pm25,pm10
2020-11-07,100.0,260.0,1000.0,400.0,440.0,5,11,37.0,
2020-11-08,60.0,100.0,260.0,1000.0,1600.0,6,11,60.0,
2020-11-09,1120.0,60.0,100.0,260.0,40.0,0,11,33.0,
2020-11-10,180.0,1120.0,60.0,100.0,500.0,1,11,40.0,
2020-11-11,0.0,180.0,1120.0,60.0,400.0,2,11,41.0,
2020-11-12,420.0,0.0,180.0,1120.0,1000.0,3,11,47.0,
2020-11-13,700.0,420.0,0.0,180.0,260.0,4,11,46.0,
2020-11-14,20.0,700.0,420.0,0.0,100.0,5,11,24.0,
2020-11-15,600.0,20.0,700.0,420.0,60.0,6,11,20.0,
2020-11-16,860.0,600.0,20.0,700.0,1120.0,0,11,18.0,
2020-11-17,760.0,860.0,600.0,20.0,180.0,1,11,29.0,
2020-11-18,240.0,760.0,860.0,600.0,0.0,2,11,28.0,
2020-11-19,800.0,240.0,760.0,860.0,420.0,3,11,17.0,
2020-11-20,1220.0,800.0,240.0,760.0,700.0,4,11,19.0,
2020-11-21,440.0,1220.0,800.0,240.0,20.0,5,11,21.0,
2020-11-22,20.0,440.0,1220.0,800.0,600.0,6,11,48.0,
2020-11-23,40.0,20.0,440.0,1220.0,860.0,0,11,61.0,
2020-11-24,1200.0,40.0,20.0,440.0,760.0,1,11,45.0,
2020-11-25,240.0,1200.0,40.0,20.0,240.0,2,11,23.0,
2020-11-26,660.0,240.0,1200.0,40.0,800.0,3,11,38.0,
2020-11-27,260.0,660.0,240.0,1200.0,1220.0,4,11,31.0,
2020-11-28,440.0,260.0,660.0,240.0,440.0,5,11,31.0,
2020-11-29,40.0,440.0,260.0,660.0,20.0,6,11,38.0,
2020-11-30,0.0,40.0,440.0,260.0,40.0,0,11,55.0,
2020-12-01,460.0,0.0,40.0,440.0,1200.0,1,12,37.0,
2020-12-02,740.0,460.0,0.0,40.0,240.0,2,12,40.0,
2020-12-03,440.0,740.0,460.0,0.0,660.0,3,12,55.0,
2020-12-04,420.0,440.0,740.0,460.0,260.0,4,12,66.0,
2020-12-05,1080.0,420.0,440.0,740.0,440.0,5,12,66.0,
2020-12-06,1040.0,1080.0,420.0,440.0,40.0,6,12,62.0,
2020-12-07,720.0,1040.0,1080.0,420.0,0.0,0,12,70.0,
2020-12-08,900.0,720.0,1040.0,1080.0,460.0,1,12,67.0,
2020-12-09,80.0,900.0,720.0,1040.0,740.0,2,12,74.0,
2020-12-10,720.0,80.0,900.0,720.0,440.0,3,12,38.0,
2020-12-11,620.0,720.0,80.0,900.0,420.0,4,12,56.0,
2020-12-12,40.0,620.0,720.0,80.0,1080.0,5,12,33.0,
2020-12-13,580.0,40.0,620.0,720.0,1040.0,6,12,47.0,
2020-12-14,0.0,580.0,40.0,620.0,720.0,0,12,44.0,
2020-12-15,40.0,0.0,580.0,40.0,900.0,1,12,38.0,
2020-12-16,180.0,40.0,0.0,580.0,80.0,2,12,27.0,
2020-12-17,520.0,180.0,40.0,0.0,720.0,3,12,31.0,
2020-12-18,100.0,520.0,180.0,40.0,620.0,4,12,18.0,
2020-12-19,0.0,100.0,520.0,180.0,40.0,5,12,24.0,
2020-12-20,60.0,0.0,100.0,520.0,580.0,6,12,12.0,
2020-12-21,160.0,60.0,0.0,100.0,0.0,0,12,15.0,
2020-12-22,140.0,160.0,60.0,0.0,40.0,1,12,14.0,
2020-12-23,0.0,140.0,160.0,60.0,180.0,2,12,23.0,
2020-12-24,940.0,0.0,140.0,160.0,520.0,3,12,55.0,
2020-12-25,300.0,940.0,0.0,140.0,100.0,4,12,49.0,
