date, pm25, pm10
2020/5/2, 21, 24
2020/5/3, 32, 6
2020/5/4, 14, 11
2020/5/5, 22, 16
2020/5/6, 20, 13
2020/5/7, 17, 9
2020/5/8, 16, 11
2020/5/9, 21, 9
2020/5/10, 15, 9
2020/5/11, 12, 10
2020/5/12, 14, 12
2020/5/13, 13, 8
2020/5/14, 15, 9
2020/5/15, 14, 10
2020/5/16, 19, 9
2020/5/17, 22, 9
2020/5/18, 19, 9
2020/5/19, 15, 7
2020/5/20, 15, 5
2020/5/21, 19, 11
2020/5/22, 9, 8
2020/5/23, 12, 9
2020/5/24, 18, 11
2020/5/25, 26, 12
2020/5/26, 16, 9
2020/5/27, 11, 13
2020/5/28, 21, 19
2020/5/29, 26, 24
2020/5/30, 28, 24
2020/5/31, 31, 10
2020/6/1, 19, 13
2020/6/2, 24, 15
2020/6/3, 18, 12
2020/6/4, 10, 20
2020/6/5, 14, 18
2020/6/6, 22, 7
2020/6/7, 16, 9
2020/6/8, 10, 14
2020/6/9, 14, 11
2020/6/10, 12, 10
2020/6/11, 14, 16
2020/6/12, 19, 16
2020/6/13, 22, 6
2020/6/14, 16, 5
2020/6/15, 10, 8
2020/6/16, 14, 9
2020/6/17, 16, 11
2020/6/18, 14, 11
2020/6/19, 16, 15
2020/6/20, 17, 14
2020/6/21, 23, 7
2020/6/22, 14, 13
2020/6/23, 15, 24
2020/6/24, 21, 24
2020/6/25, 19, 17
2020/6/26, 18, 23
2020/6/27, 19, 14
2020/6/28, 14, 12
2020/6/29, 16, 10
2020/6/30, 12, 12
2020/7/1, 17, 12
2020/1/2, 13, 12
2020/1/3, 14, 8
2020/1/4, 13, 15
2020/1/5, 13, 8
2020/1/6, 10, 7
2020/1/7, 11, 8
2020/1/8, 11, 14
2020/1/9, 10, 24
2020/1/10, 24, 8
2020/1/11, 20, 4
2020/1/12, 14, 4
2020/1/13, 8, 7
2020/1/14, 13, 6
2020/1/15, 22, 8
2020/1/16, 24, 9
2020/1/17, 16, 10
2020/1/18, 30, 10
2020/1/19, 29, 8
2020/1/20, 20, 9
2020/1/21, 25, 9
2020/1/22, 31, 6
2020/1/23, 16, 7
2020/1/24, 21, 7
2020/1/25, 15, 11
2020/1/26, 24, 6
2020/1/27, 22, 12
2020/1/28, 20, 9
2020/1/29, 23, 11
2020/1/30, 20, 21
2020/1/31, 28, 7
2020/2/1, 7, 10
2020/2/2, 10, 16
2020/2/3, 31, 27
2020/2/4, 40, 20
2020/2/5, 31, 8
2020/2/6, 24, 9
2020/2/7, 40, 10
2020/2/8, 33, 8
2020/2/9, 16, 
2020/2/10, 32, 
2020/2/11, 29, 
2020/2/12, 26, 
2020/2/13, 41, 
2020/2/14, 24, 
2020/2/15, 12, 
2020/2/16, 12, 
2020/2/17, 20, 
2020/2/18, 24, 
2020/2/19, 39, 
2020/2/20, 40, 
2020/2/21, 36, 
2020/2/22, 37, 
2020/2/23, 41, 
2020/2/24, 26, 24
2020/2/25, 17, 32
2020/2/26, 28, 29
2020/2/27, 32, 27
2020/2/28, 28, 27
2020/2/29, 25, 17
2020/3/1, 16, 14
2020/3/2, 27, 14
2020/3/3, 17, 32
2020/3/4, 13, 20
2020/3/5, 11, 42
2020/3/6, 28, 34
2020/3/7, 34, 6
2020/3/8, 19, 12
2020/3/9, 26, 21
2020/3/10, 29, 20
2020/3/11, 27, 12
2020/3/12, 13, 21
2020/3/13, 23, 18
2020/3/14, 26, 13
2020/3/15, 22, 11
2020/3/16, 19, 16
2020/3/17, 25, 31
2020/3/18, 39, 26
2020/3/19, 30, 27
2020/3/20, 38, 31
2020/3/21, 38, 20
2020/3/22, 28, 20
2020/3/23, 23, 30
2020/3/24, 19, 12
2020/3/25, 12, 14
2020/3/26, 27, 13
2020/3/27, 17, 14
2020/3/28, 21, 8
2020/3/29, 16, 
2019/10/2, 32, 16
2019/10/3, 31, 20
2019/10/4, 52, 16
2019/10/5, 41, 11
2019/10/6, 23, 14
2019/10/7, 31, 30
2019/10/8, 27, 15
2019/10/9, 15, 14
2019/10/10, 26, 15
2019/10/11, 37, 17
2019/10/12, 48, 22
2019/10/13, 56, 21
2019/10/14, 64, 25
2019/10/15, 58, 30
2019/10/16, 54, 37
2019/10/17, 58, 12
2019/10/18, 22, 10
2019/10/19, 15, 6
2019/10/20, 17, 4
2019/10/21, 13, 9
2019/10/22, 22, 8
2019/10/23, 17, 21
2019/10/24, 34, 24
2019/10/25, 46, 22
2019/10/26, 42, 11
2019/10/27, 30, 13
2019/10/28, 48, 8
2019/10/29, 20, 19
2019/10/30, 33, 34
2019/10/31, 60, 42
2019/11/1, 90, 42
2019/11/2, 77, 39
2019/11/3, 73, 29
2019/11/4, 65, 35
2019/11/5, 56, 45
2019/11/6, 61, 30
2019/11/7, 48, 39
2019/11/8, 48, 41
2019/11/9, 67, 32
2019/11/10, 77, 21
2019/11/11, 68, 23
2019/11/12, 26, 22
2019/11/13, 48, 19
2019/11/14, 61, 26
2019/11/15, 69, 12
2019/11/16, 41, 15
2019/11/17, 38, 12
2019/11/18, 36, 14
2019/11/19, 39, 7
2019/11/20, 29, 18
2019/11/21, 40, 30
2019/11/22, 61, 31
2019/11/23, 72, 28
2019/11/24, 84, 14
2019/11/25, 40, 17
2019/11/26, 50, 13
2019/11/27, 41, 12
2019/11/28, 19, 13
2019/11/29, 29, 19
2019/11/30, 45, 20
2019/12/1, 51, 22
2019/12/2, 57, 14
2019/12/3, 50, 12
2019/12/4, 29, 16
2019/12/5, 37, 27
2019/12/6, 76, 18
2019/12/7, 58, 12
2019/12/8, 38, 11
2019/12/9, 23, 12
2019/12/10, 41, 21
2019/12/11, 60, 7
2019/12/12, 29, 7
2019/12/13, 24, 10
2019/12/14, 30, 11
2019/12/15, 37, 4
2019/12/16, 20, 11
2019/12/17, 46, 21
2019/12/18, 61, 35
2019/12/19, 54, 16
2019/12/20, 36, 4
2019/12/21, 9, 14
2019/12/22, 10, 8
2019/12/23, 15, 12
2019/12/24, 20, 8
2019/12/25, 28, 10
2019/12/26, 40, 9
2019/12/27, 23, 10
2019/12/28, 31, 10
2019/12/29, 30, 
2019/12/30, 42, 
2019/7/2, 23, 17
2019/7/3, 22, 16
2019/7/4, 22, 16
2019/7/5, 33, 19
2019/7/6, 35, 19
2019/7/7, 28, 16
2019/7/8, 21, 18
2019/7/9, 24, 22
2019/7/10, 21, 21
2019/7/11, 26, 17
2019/7/12, 14, 18
2019/7/13, 20, 19
2019/7/14, 23, 17
2019/7/15, 22, 22
2019/7/16, 28, 14
2019/7/17, 22, 16
2019/7/18, 16, 20
2019/7/19, 12, 14
2019/7/20, 18, 15
2019/7/21, 22, 14
2019/7/22, 19, 26
2019/7/23, 32, 26
2019/7/24, 34, 12
2019/7/25, 19, 21
2019/7/26, 29, 23
2019/7/27, 35, 26
2019/7/28, 24, 17
2019/7/29, 19, 21
2019/7/30, 28, 25
2019/7/31, 30, 25
2019/8/1, 29, 25
2019/8/2, 29, 26
2019/8/3, 22, 22
2019/8/4, 34, 27
2019/8/5, 51, 41
